من الأساليب التدريبية المتبعة في البرنامج _____، وهو أسلوب لتوليد الأفكار بشكل جماعي.,العصف الذهني
من أهداف البرنامج التدريبي التمييز بين الحوكمة و_____ و_____.,الإدارة والتنفيذ
ما هو أحد الأهداف الرئيسية للبرنامج التدريبي فيما يخص التنمية المستدامة؟,ربط الحوكمة بالتنمية المستدامة ورؤية مصر 2030.
ما هو السلوك الذي يهدف البرنامج إلى أن يتبناه المشاركون لدعم الحوكمة؟,تبني سلوك مهني وأخلاقي داعم للحوكمة.
ما هو الدور المتوقع من المشارك في البرنامج بدلاً من الحفظ؟,التفكير النقدي.
ما هو دور المشارك تجاه ما يتعلمه في البرنامج؟,تطبيق ما يتم تعلمه على الواقع.
"ما هو المفهوم الذي تشير إليه الآية الكريمة ""وَكُلُوا وَاشْرَبُوا وَلَا تُسْرِفُوا"" في سياق الاستدامة؟",تجنب الإسراف والحفاظ على الموارد.
إلام يرمز الكاريكاتير الذي يظهر فيه رجل ثري يمنع الماء عن رجل فقير؟,سوء توزيع الموارد وعدم العدالة الاجتماعية والفساد.
إلام ترمز صورة الكرة الأرضية على شكل مصباح مع أشخاص يعملون عليها؟,التعاون العالمي والابتكار من أجل بناء مستقبل مستدام.
ماذا توضح الصور التي تقارن بين بيئة مزدهرة وأخرى متدهورة؟,تأثير الأنشطة البشرية على البيئة وأهمية الحفاظ عليها.
عرفت لجنة بروندتلاند التابعة للأمم المتحدة عام 1987 الاستدامة بأنها تلبية حاجات الحاضر دون _____.,المساس بقدرات الأجيال المستقبلية على تلبية حاجاتها الخاصة
ما هي الفترة الزمنية التي غطتها الأهداف الإنمائية للألفية (MDGs)؟,من عام 2000 إلى 2015.
ما هو التركيز الأساسي للأهداف الإنمائية للألفية (MDGs)؟,القضايا الاجتماعية في الدول النامية مثل الفقر والجوع والتعليم.
كم عدد الأهداف الإنمائية للألفية (MDGs)؟,8 أهداف.
ما هي الفترة الزمنية التي تغطيها أهداف التنمية المستدامة (SDGs) أو أجندة 2030؟,من عام 2015 إلى 2030.
ما الذي يميز أهداف التنمية المستدامة (SDGs) عن سابقتها من حيث الشمولية؟,أنها عالمية تلتزم بها كل الدول، غنية كانت أم فقيرة.
تتميز أهداف التنمية المستدامة (SDGs) بدمجها بين ثلاثة محاور رئيسية، ما هي؟,المحور الاجتماعي، الاقتصادي، والبيئي.
كم عدد أهداف التنمية المستدامة (SDGs)؟,17 هدفًا.
"أي هدف من أهداف التنمية المستدامة يُعتبر ""العمود الفقري"" الذي يضمن تحقيق باقي الأهداف بكفاءة وعدالة؟",الهدف 16 الخاص بالحوكمة (السلام والعدل والمؤسسات القوية).
في نظام تقييم تحقيق أهداف التنمية المستدامة، على ماذا يدل اللون الأخضر؟,الهدف تم تحقيقه أو الأداء في النطاق الأمثل.
في نظام تقييم تحقيق أهداف التنمية المستدامة، على ماذا يدل اللون الأصفر؟,تحديات متبقية؛ الأداء متوسط لكنه لم يصل للمستوى المطلوب.
في نظام تقييم تحقيق أهداف التنمية المستدامة، على ماذا يدل اللون الأحمر؟,تحديات رئيسية؛ الدولة بعيدة جدًا عن تحقيق الهدف.
في نظام تقييم اتجاهات التقدم نحو أهداف 2030، ماذا يعني السهم الأخضر المتجه للأعلى؟,الدولة في المسار الصحيح وسرعة التقدم كافية لتحقيق الهدف.
في نظام تقييم اتجاهات التقدم نحو أهداف 2030، ماذا يعني السهم البرتقالي الأفقي؟,ركود؛ لا يوجد تقدم ملحوظ أو التقدم ضئيل جدًا.
في نظام تقييم اتجاهات التقدم نحو أهداف 2030، ماذا يعني السهم الأحمر المتجه للأسفل؟,تراجع؛ الوضع يسوء والاتجاه سلبي.
"ما هو الهدف الرئيسي للمشروع الوطني المصري المذكور في المحاضرة والمُشار إليه بشعار ""من القرية للجمهورية""؟",الارتقاء بجودة حياة 60 مليون مواطن.
"ما هو نطاق المشروع الوطني المصري ""حياة كريمة"" من حيث عدد القرى؟",تطوير أكثر من 4500 قرية.
كيف وصفت الأمم المتحدة المشروع الوطني المصري (حياة كريمة) بالنسبة لأهداف 2030؟,وصفته بأنه مُسرِّع (Accelerator) لتحقيق الأهداف.
وفقًا للمحاضرة، ما هو الأساس الذي لا يمكن تحقيق أهداف التنمية المستدامة بدونه؟,مؤسسات قوية وفعالة وعادلة (الحوكمة).
وصفت المحاضرة الحوكمة بأنها _____ التي تُبنى عليها باقي أهداف التنمية.,الأرضية الصلبة
