id,title,description,availability,condition,price,link,image_link,brand
srv_web_dev,إنشاء وتطوير مواقع إلكترونية احترافية,"تصميم وبرمجة مواقع ويب حديثة، متجاوبة بالكامل مع الهواتف والتابلت بمظهر فخم يعكس هوية عملك ويجلب لك المزيد من العملاء، مع تهيئة كاملة لمحركات البحث (SEO). السعر يتراوح بين 15,000 إلى 60,000 ج.م حسب حجم المشروع.",in stock,new,15000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#services,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/web_dev_banner.png,Eng. Abdelrahman Amr
srv_digitization,سيستم للتحول من ورقي إلى رقمي (أرشفة وتدريب),"بناء نظام أرشيف رقمي وإدارة معلومات متكامل للتخلص من المعاملات الورقية وتوفير الوقت والجهد، متبوعاً بتدريب مكثف لطاقم العمل لضمان كفاءة تشغيل النظام وسرعة استرجاع البيانات. السعر يتراوح بين 40,000 إلى 150,000 ج.م.",in stock,new,40000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#services,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/digitization_banner.png,Eng. Abdelrahman Amr
srv_landing_page,صفحات تعريفية وهبوط للأنشطة الصغيرة,"إطلاق صفحة تعريفية سريعة ومبهرة (Landing Page) لنشاطك التجاري أو عيادتك أو مكتبك (بدومين خاص أو بدونه) لتسهيل وصول العملاء، وعرض خدماتك مع ربط مباشر بالواتساب ووسائل التواصل الاجتماعي. السعر يتراوح بين 5,000 إلى 12,000 ج.م.",in stock,new,5000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#services,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/landing_page_banner.png,Eng. Abdelrahman Amr
prod_lawmind,منصة سَنَد للمحاماة الذكية وإدارة المكاتب,"منصة متطورة للمساعد القانوني الذكي وتتبع القضايا والتوكيلات وحجز الاستشارات بالذكاء الاصطناعي وجلسات المحاكم وفق القانون المصري، مع أتمتة العقود. السعر يتراوح بين 80,000 إلى 500,000 ج.م حسب حجم المكتب وعدد الفروع.",in stock,new,80000 EGP,https://lawsamarsamier.vercel.app/,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/sanad_ai_banner.png,Eng. Abdelrahman Amr
prod_radiance_ris,نظام حجز وإدارة الأشعة بالمراكز (Radiance RIS),"نظام طبي متقدم (Radiology Information System) لحجز مواعيد الأشعة، تسجيل تقارير الأطباء الرقمية، حفظ صور الأشعة، وتنظيم الحسابات وإدارة الطاقم الطبي بكفاءة عالية. السعر يتراوح بين 60,000 إلى 180,000 ج.م.",in stock,new,60000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/screenshots/radiance-screen.png,Eng. Abdelrahman Amr
prod_altahera_erp,نظام إدارة المراكز الطبية الشامل (Altahera ERP),"سيستم إداري شامل لضبط وتنظيم سير العمل بالكامل داخل العيادات والمراكز الطبية الكبرى، يشمل حجز المواعيد، السجلات الطبية للمرضى، وإدارة حسابات العيادة والصيدلية الداخلية. السعر يتراوح بين 35,000 إلى 90,000 ج.م.",in stock,new,35000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/screenshots/altahera-screen.png,Eng. Abdelrahman Amr
prod_carbon,منصة حساب البصمة الكربونية للمؤسسات,"منصة بيئية ذكية متوافقة مع معايير ESG لحساب وتحليل وإعداد تقارير البصمة الكربونية للمصانع والشركات الكبرى، وتوفير حلول ذكية لتقليل الانبعاثات وتحقيق الاستدامة. السعر يتراوح بين 45,000 إلى 120,000 ج.م.",in stock,new,45000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/carbon_footprint_banner.png,Eng. Abdelrahman Amr
prod_results,بوابة نتائج الطلاب السريعة والمؤمنة,"بوابة إلكترونية مهيأة لتحمل ضغط الزيارات العالي جداً أثناء إعلان نتائج الطلاب بدون توقف للخوادم، مع لوحة تحكم سهلة لرفع النتائج عبر ملفات إكسل وتوليد تقارير أداء فورية. السعر يتراوح بين 12,000 إلى 30,000 ج.م.",in stock,new,12000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/screenshots/results-screen.png,Eng. Abdelrahman Amr
prod_cipt_exam,منصة منظومة اختبارات الطلاب (CIPT),"منصة اختبارات ذكية ومؤمنة للمراكز التعليمية والجامعات والمدارس، تحتوي على محرك تصحيح تلقائي، نظام كشف ومكافحة الغش، استخراج تقارير الطلاب بصيغة إكسل وPDF. السعر يتراوح بين 15,000 إلى 45,000 ج.م.",in stock,new,15000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/screenshots/cipt-screen.png,Eng. Abdelrahman Amr
prod_flashcards,لعبة البطاقات التعليمية التفاعلية (Flashcards),"نظام مراجعة وتكرار متباعد تفاعلي مصمم بأسلوب الألعاب (Gamification) لتسهيل حفظ ومراجعة المناهج الدراسية، مخصص للمدارس والمراكز التعليمية والمدرسين. السعر يتراوح بين 8,000 إلى 20,000 ج.م.",in stock,new,8000 EGP,https://abdelrahman-amr1.github.io/AbdelrahmanAmr/#products,https://raw.githubusercontent.com/abdelrahman-amr1/AbdelrahmanAmr/main/assets/screenshots/flashcards-screen.png,Eng. Abdelrahman Amr
